Username,Rating,Date,Comment
Abdullah,,"Reviewed in the United States on February 13, 2020","I like the shape and the performance
But it would be better if the mouse's weight was lighter"
Amazon Customer,,"Reviewed in the United States on May 3, 2021",De los mejores mouses que he tenido.
Diego,,"Reviewed in the United States on August 28, 2021",Perfect
Jm,,"Reviewed in the United States on April 20, 2021",My son absolutely loved it
Joe,,"Reviewed in the United States on February 3, 2021",Works great
robert barretto,,"Reviewed in the United States on June 3, 2020",Excellent good quality
James Amsdill,,"Reviewed in the United States on September 25, 2020",All good
aws al azzawi,,"Reviewed in the United States on March 1, 2020",more than 5 stars
dani,,"Reviewed in the United States on March 22, 2020",Very confy
Shawn Michael Norman,,"Reviewed in the United States on January 25, 2020","I saw this mouse on sale for $24 at a local big box store. I purchased it since I had some extra birthday money. I use it mostly for playing MMO style games. The extra buttons are great for my use case. The weights and the dpi settings are very nice. This mouse fits my hand perfect and I really love it. I have never seen a mouse so good for $24. I would pay plenty more for this mouse as it is the best I have ever used personally. If your on the fence, buy it!"
Sivar,,"Reviewed in the United States on March 8, 2021",Overall this is a great mouse for gaming. For someone like me who always used a cordless heavier mouse the variable weight system has made the adjustment to the G502 SE HERO very smooth.
Zak Waldschmidt,,"Reviewed in the United States on January 24, 2023","This is the best mouse I have used, I honestly have it saved in my cart so if it ever breaks that I can just reorder the same mouse. I love the feel of it when I am gaming and the front buttons make it very easy to setup quick macro keys when playing games. The sensitivity options are great as well and allow you to play at many different sensitives and easily rotate between them."
Jason Schlaht,,"Reviewed in the United States on April 26, 2020","This mouse works very good. I've used it a lot in FPS games. Has ability to change the amount it weighs, and is very accurate. The software works good to customize it's dpi."
Caleb&Emily,,"Reviewed in the United States on May 1, 2020",I love this mouse. It glides easily across my mouse pad and works great for gaming. The color scheme is absolutely beautiful. Would buy again in a heartbeat!
Joseph Buchanan,,"Reviewed in the United States on July 18, 2021",Very nice like the white lines on it
Brandon Pranivong,,"Reviewed in the United States on May 28, 2021",love the feeling after transitioning to from a razer mouse love the design and the scroll wheel but i suggest buying the Regular G502 Hero instead of this one
Scott,,"Reviewed in the United States on June 18, 2021",Awesome mouse
suliman,,"Reviewed in the United States on March 7, 2020",Amazing ❤️
