Username,Rating,Date,Comment,Sentiment_VADER,Sentiment_Transformers
Shannon C.,5,13 Jan 2024,functionalitysmooth qualitygood materialcomfortable,neutral,positive
Hashveen S.,5,01 Aug 2019,satisfied overall process product con slight dent box,positive,positive
v69 ا.,5,14 Sep 2020,nice,positive,positive
lo C.,5,02 Apr 2024,ok,positive,positive
Mikel C.,5,20 Jun 2020,bought sale came within 2 day wrapping nice damage whatsoever item nice good surely come,positive,positive
CHAN S.,5,14 Jun 2020,took 5 day order go “ logistic facility ” otherwise product advertised tracking excellent much better razer taipan especially 16000dpi outstanding fly dpi control dedicated 2 button led indicator dpi lvl size shape excellent super smooth gliding instant plug play optional software install even function,positive,positive
Widyo,5,13 Jun 2020,absolutely original best mouse gaming nicely wrapped secure,positive,positive
T***.,5,29 Aug 2023,good gaming mouse fly dpi adjustment sniping fps game multiple programmable button game use adjustable removable weight people want light heavy feel,positive,positive
Muhammad A.,5,01 Jun 2020,love one best mouse ever bought seller sale quite expensive far satisfieddelivery fast,positive,positive
Amirul M.,5,01 Jun 2020,best mouse ever mouse comfortable grip add weight mouse rgb set logitech software,positive,positive
Muhammad I.,5,28 May 2020,took week ship due raya worth money high performing wired gaming mouse love easily could config button customisation work gaming one thing noticed sn wire box 2 different set number submit warranty mouse worked logitech g hub good,positive,positive
*******636,5,08 Jan 2024,material 💯💯💥💥💥 im fully satisfied 🥰🥰,positive,positive
0***1,5,10 Mar 2024,quality good,positive,positive
Ng J.,5,27 Sep 2021,received promptly without incident thanks best mouse ever bought work,negative,positive
azriahmat,5,03 Apr 2021,nice received good condition able use function,positive,positive
Chester L.,5,04 Jun 2020,nice one,positive,positive
Prashant,5,07 Jul 2023,box bit dented however product seems fine working took picture problem uploading,negative,negative
M***.,5,19 Dec 2021,good,positive,positive
S***.,5,15 Jun 2022,package perfect dent ty,positive,positive
S***.,5,12 Jul 2022,12945 good,positive,positive
0***7,5,03 Mar 2023,item good condition,positive,positive
Junelle,5,07 Apr 2022,son love,positive,positive
Stanley H.,5,22 Mar 2022,fast delivery great product box bit dented product okay,positive,negative
L***.,5,09 Feb 2022,nice packaging fast delivery product also original good love,positive,positive
C***.,5,23 Feb 2022,safely received using drafting work accurate smooth silk money well spent thank 👍,positive,positive
kongwoonhoi,5,15 Dec 2022,fast delivery,neutral,positive
Harith A.,5,24 Oct 2022,top product efficient gaming,positive,positive
Ikmal M.,5,09 Mar 2023,functionalityall button perfectly work qualityvery good materialeasy grip comfortable,positive,positive
L***.,5,14 Jul 2022,fast delivery authentic product,neutral,positive
C***.,5,08 Jul 2022,superb fast delivery worth value,positive,positive
C***.,5,09 Apr 2022,quite decent gaming mouse lot button customize g hub software weight mouse right small hand might want avoid mouse quite size bought discount price quite bargain fast shipping seller side extremely slow delivery courier side took week received item changed courier service middle mention dented box,positive,negative
Ching S.,5,05 Apr 2022,mouse good many button,positive,positive
C***.,5,07 Jun 2022,decently heavy mouse wireless cheap rn 100usd mouse thats market nearly decade,neutral,positive
Mandy L.,5,14 Jul 2022,product received good condition mouse worth price good quality,positive,positive
E***.,5,01 Apr 2022,mouse work flawlessly,positive,positive
6***6,5,19 Jan 2024,good👍,neutral,negative
dannyomie,5,03 Jun 2022,box dent item good condition,positive,positive
Mohd R.,5,09 Jul 2020,good 😍,positive,positive
Dana R.,5,05 Jun 2023,compared first one came pretty much great mouse time wire cloth braided n covered thin plastic seems little cheap,positive,negative
Mohamad F.,5,16 May 2023,good service product expected cable braided learn new version come braided cable overall good mouse minus double clicking issue 👍🏻,positive,negative
Leong Y.,5,30 Mar 2023,qualityit g502 expect t0 mouse get functionalityis fabulous far materialnot perfect rubber side dont know feel sticky,positive,negative
Davis O.,5,03 Jun 2020,awesome,positive,positive
Tiew L.,5,28 Apr 2022,safety arrived quite nice fit hand nice use,positive,positive
ZeaTing L.,5,08 Apr 2023,good quality funtionality gaming guy especially material also let people feeling good,positive,positive
Phoon J.,5,01 Jan 2022,good condition,positive,positive
Mohd A.,5,07 Sep 2023,functionality quality material,neutral,positive
O***.,5,11 Apr 2023,functionalitywell function materialquite niceeee qualityqyite niceeee,neutral,negative
Y***t,5,27 Nov 2021,fast delivery,neutral,positive
Chen K.,5,23 Nov 2021,fast delivery quick response dope mouse,neutral,positive
T***k,5,10 Aug 2023,quality：very good material：plastic metal,positive,positive
B***e,5,17 Nov 2021,super super super good 1 weight perfect adjustable 2 button practical favourite part never miss clicking 3 great fitting 4 importantly improves toxic gameplay😉,positive,positive
lim,5,15 Oct 2023,fast delivery,neutral,positive
Kai R.,5,30 Mar 2023,amazing fit perfectly hand love ergonomics,positive,positive
Darryl,5,12 Nov 2021,fast delivering,neutral,positive
A***.,5,06 May 2023,comfortable use great gaming everything programmable,positive,positive
John L.,5,18 Aug 2023,good product real authentic,positive,positive
Shargurbaren U.,5,10 Nov 2021,responsive sleek love design customizable rgb cool,positive,positive
Kaijyet Y.,5,03 Mar 2021,good product fast delivery,positive,positive
Ahmad S.,5,03 Mar 2021,mantap mantulbarang mmng tiptopset dpi 10k confirm chicken😝🤣🤣,neutral,negative
WONG K.,5,02 Mar 2021,fast delivery good packaging condition,positive,positive
Charles C.,5,23 Feb 2021,highly recommended,positive,positive
dong Y.,5,17 Feb 2021,time delivery,neutral,positive
*******120,5,13 Sep 2023,everything ok,positive,positive
1***2,5,14 Sep 2023,qualitynice,neutral,positive
Kenny T.,5,09 Feb 2021,perfect gaming highly recommended delivery used around 3weeks still accept mco kl,positive,positive
CH K.,5,08 Feb 2021,far im satisfied,positive,positive
Justyna T.,5,05 Feb 2021,good quality super fast delivery,positive,positive
Cantrelle L.,5,07 Sep 2023,work well,positive,positive
Marcus,5,16 Sep 2021,thank well packed worth price shipping slow abit,positive,negative
Andy N.,5,23 Jul 2022,good,positive,positive
C***.,5,14 Sep 2021,superb performance fast delivery good quality hope shop offertory gift pack,positive,positive
Muq,5,13 Sep 2021,good productprecise mouse,positive,positive
NOOR H.,5,30 Dec 2020,nice mouse cheap,positive,negative
Susan J.,5,25 Dec 2020,great product problem thank,positive,positive
Khairul F.,5,08 Sep 2021,great mouse comfortable large hand,positive,positive
Shannon C.,5,23 Dec 2020,fast delivery well packed,positive,positive
anas R.,5,22 Dec 2020,terbaikkkkkk,neutral,negative
Yen H.,5,22 Dec 2020,good super fast delivery 2 day worth try good gaming work use,positive,positive
JC D.,5,19 Dec 2020,solid product feel great hand performs wonderfully,positive,positive
Leong S.,5,18 Dec 2020,product arrived fast work like magic,positive,positive
BLAZEMAN 0.,5,17 Dec 2020,fast delivery,neutral,positive
X***Q,5,19 Apr 2022,good,positive,positive
Chin J.,5,16 Dec 2020,good product good pricing sale expect logitech however packaging still room improvement others buyer mentioned,positive,positive
Mohd Y.,5,15 Dec 2020,really good original item delivery fast,positive,positive
JT,5,15 Dec 2020,2 working day deliver well packed product good working son like alot tq,positive,positive
1***1,5,14 Dec 2020,packaging product great pleased purchase,positive,positive
