Username,Rating,Date,Comment
A***.,5,06 Sep 2022,lorem ipsum dolor sit amet consectetur adipiscing elit sed bibendum diam tempus tempor enim enim convallis nunc ac euismod mi neque sit amet leo orci varius natoque penatibus et magnis dis parturient monte nascetur ridiculus mu suspendisse ipsum ante laoreet eget duo vel aliquam tempor diam duis ultrices viverra
1***6,5,03 Aug 2022,good product feel great like much professional software set specific configuration
S***.,5,09 Jul 2022,excellent mouse u control speed roller
LCY,5,06 Apr 2024,programmable button easy customization customizable rgb lighting personalized look compatible pc mac system
N***.,5,28 Aug 2023,mouse arrived good quality time authentic
David L.,5,4 weeks ago,highly responsive accurate sensor smooth precise cursor movement
Maisarah S.,5,22 Dec 2021,mouse great form factor weight easy customisation it ’ s simply perfect minor issue button placement hand bit small it ’ s bit uncomfortable upgrading g300s i ’ m used extra button side g502 they ’ re left side need time get used would highly recommend
l***.,5,2 weeks ago,look cute fast delivery look cool hope good use
J***.,5,05 Mar 2024,smooth precise cursor movement onboard memory saving personalized setting highly responsive accurate sensor high dpi range precise tracking highly responsive accurate sensor
H***.,5,23 Feb 2024,high dpi range precise tracking highly responsive accurate sensor smooth precise cursor movement
Raja A.,5,29 Feb 2024,high dpi range precise tracking adjustable weight personalized balance highly responsive accurate sensor ergonomic design comfortable grip onboard memory saving personalized setting
Caston,5,31 Mar 2024,highly responsive accurate sensor high dpi range precise tracking
Vivian T.,5,28 Mar 2024,quality ❤❤❤❤❤ material ❤❤❤❤❤ functionality ❤❤❤❤❤❤❤❤❤❤❤❤❤
Z***.,5,24 Jan 2024,functionalitylots dpi setting choose programmable button gaming macro command software like adobe photoshop qualitysomewhat average scroll wheel plasticky finish mouse doesnt stress relief guard cord materialhigh quality plastic light liking despite supplied iron weight bought g502 hero whim without due diligence part old corsair m65 corded gaming mouse stopped working 7 year im familiar logitech g series mouse chose one looked good affordable mouse optional weight theyre positioned center towards back unlike corsair m65 there provision adding weight front therefore weight distribution rear heavy plus side g502 hero scroll wheel quite sensitive need light touch surface calibration feature model particular reason mouse find easy adapt normal use quite hoped fps gaming
c***y,5,15 Mar 2024,fast delivery good packing 👍🏻👍🏻👍🏻 product really nice
Gary T.,5,07 Jan 2024,functionalitysuperb good qualitygood built price materialplastic metal roller step bit big compare mouse， mouse click slightly solid compare 502x near half price， complain
Cheng R.,5,30 Dec 2023,mouse comfortable hold feel smooth definitely recommended anyone want buy mouse
Norman I.,5,11 Jun 2021,mouse terbaik yang pernah dipakai
Joseph C.,5,17 Dec 2023,ergonomic design comfortable grip downside scroll wheel fast loose mode
Mohamed H.,5,02 Apr 2021,puas hati beli
N***.,5,06 Jun 2021,good scratch
Y***H,5,17 Nov 2023,ergonomic design comfortable grip smooth precise cursor movement compatible pc mac system highly responsive accurate sensor
kuzon73,5,12 Apr 2023,tolong improve laa brg ori xkan balut cikai jer kotak kemek gilaa pakai la inflatable air jgn pakai bubblewarp
Khian M.,5,16 Nov 2023,second time buy g507 hero best ever mouse used recommended guy buy work even gaming coz smoothly functional gaming
Y***.,5,15 Jul 2021,good
Tan D.,5,18 Dec 2023,customizable rgb lighting personalized look
Teoh C.,5,19 Sep 2023,functionalitywork intended qualityall button feel solid materialrubbers side feel really good
Damaris K.,5,25 Jan 2023,really solid mouse replaced g402 item arrived relatively fast
Zarif A.,5,02 Mar 2021,really nice mouse good condition 👍🏼👍🏼
L***.,5,12 Oct 2023,nice mouse good weight suitable big hand
1***5,5,08 Jul 2023,even though nowadays mices getting lightweight still best mouse many year never tried get try
Y***n,5,19 Sep 2023,pretty good👍 quality1010 functionality1010 material1010
A***.,5,24 Sep 2021,bit slow delivery otherwise good tracking system box slightly dented inside problem good mouse use
K***.,5,20 Sep 2021,box bit dented device fine performance condition still good 👍🏻 fast delivery definitely recommended promo price
KxDiong,5,16 Aug 2023,good product quality good value money excellent service seller
Leong K.,5,03 Apr 2021,thanks received good condition 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
LIM G.,5,20 Jun 2023,lover mouse wan buy long time ago long logictech mouse pricing high acceptable max rm100 rm150 tooo expensive mouse
SL L.,5,09 Jun 2023,item fast delivered received good order working fine advertised seller effectively recommended
Vincent Y.,5,29 Mar 2023,functionalitycustomized button qualitybuild quality solid good affordable gaming mouse delivery fastwithin 24 hour received mouse thank seller
Ho Y.,5,2 days ago,using week upgraded g402 pro fit hand well ymmv side button wider 402 natural press toggle smoothstepped mouse wheel lr mouse wheel button cray feel delighted come back con heavy modern mouse 100g give weight sometimes ghub doesnt detect game wish still abovemousewheel button like mx512
Jason L.,5,3 weeks ago,adjustable weight personalized balance ergonomic design comfortable grip smooth precise cursor movement
K***.,5,11 Jun 2022,fast delivery damage product well known mouse gamer
****3,5,15 Feb 2023,item received first time bought logitech product hopefully quality satisfy
Robert S.,5,01 Jul 2022,wrapped bubble wrap box slightly dented since small nonrigid box mouse work fine weight adjustment desirable suit way move mouse grip feel rubber plastic nice highly recommended looking great gaming mouse cheaper end
Shyris,5,30 Mar 2022,fast delivery even ftom johor item recieved advertised price cant say anything else cheap yet function get mouse exceptional
KONG W.,5,07 Apr 2022,quick delivery genuine product 👍🏻 really enjoy using mouse
Winner K.,5,11 Apr 2022,nice good
Kent K.,5,10 Mar 2023,quality functionalityvery good product
1***1,5,08 Jul 2022,simply amazing feel much better older mouse look beautiful rgbs
Joergen K.,5,14 Sep 2022,good fast delivery service responsive seller good quality
T***.,5,21 Jan 2023,mouse good quality look cool shortcoming mouse heavy big
Muhammad F.,5,20 Sep 2022,working perfectly
M***.,5,06 Mar 2023,great product
1***7,5,13 Mar 2023,good material good quality fast delivery good function thanks
X***.,5,01 Aug 2022,gud function properly bought bcos razer basilisk x kinda broken
Wilber S.,5,03 Jun 2022,thing great come 3 day time tht box run shape abit
A***.,5,30 Mar 2022,first time buying higher range mouse damn got ta say mouse feel amazing never going back cheap mouse i ’ m sorry 😆
Christopher J.,5,08 Mar 2023,functionalitylove qualitygood like materialperfect
H***.,5,03 Mar 2023,qualitygood functionalitygood materialgood
arsalan K.,5,16 Dec 2022,fast delivery high quality packaging mouse big enough hand quality product high also used logitech software customization mouse
Zero W.,5,01 Feb 2023,之前因为正版的滑鼠太贵了，所以之前用的是中国的冒牌货，因为一直有问题才下定决心买正版。不买还好一买了就回不去了，正版和假版差太多
Wei B.,5,14 Jul 2022,product good delivery speed also fast order 127 come 147 although live selangor come johor good seller buy
N***.,5,31 Mar 2022,fast delivery despite dent box everything okay
Regis R.,5,09 May 2022,item received welland feel really nice hand well packed sellerthank
he X.,5,03 Feb 2023,everything good
L***.,5,02 Mar 2022,come good condition
Chan H.,5,16 Mar 2023,best best 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪
W***.,5,13 Feb 2023,good product
Present Q.,5,13 Oct 2022,box say really bad mouse good
tommy S.,5,07 Mar 2022,good quality
Jiu Y.,5,01 Jun 2022,g502 hero mouse needed daily gaming comfy sturdy scroll wheel delightfully designed
1***4,5,12 Jul 2022,perfect grip ur hand multiple control good qualitynot mention pricy despite mouse market fighting lightness sure make way highly recommended people us high sensitivity 106g mouse u even add weight mention 25k dpi might old model u dun mind wired perfect go
Mobin,5,10 Jun 2022,fast shipping👍great productno issueno damagenice💕
Rachael E.,5,14 Jan 2022,box slightly dented everything work fine fast delivery worth price
Vengades B.,5,25 Apr 2024,highly responsive accurate sensor ergonomic design comfortable grip adjustable weight personalized balance smooth precise cursor movement
Ping W.,5,03 Jan 2022,parcel nicely wrapped bubble damage box content satisfied mouse quality come back looking logitech g merchandise
K***t,5,04 Mar 2022,不错但盒子有点凹
P***a,5,31 May 2023,order received good condition 👍👍👍 thank much
S***e,5,22 Jun 2023,bought brother said like much
WONG H.,5,06 Apr 2023,whole problem work smoothly
Alex W.,5,20 Nov 2021,fast delivery good product
0***3,5,09 Mar 2024,smooth precise cursor movement high dpi range precise tracking adjustable weight personalized balance durable construction longlasting use
William T.,5,21 Jul 2023,best
Rade K.,5,02 Mar 2021,great logitech store thanks dented packing 55 star u
Frost,5,23 Oct 2021,product well packaged arrived fast overall great shopping experience store
Zachary L.,5,24 Feb 2021,good packaging fast delivery overall good mouse imo upgraded g103 find lil heavy without weight still highly customizable would definitely recommend
Ah J.,5,20 Feb 2021,good packaging
Caroline K.,5,19 Feb 2021,super fast delivery 17th placed order received 19th
Muhd A.,5,17 Feb 2021,semalam packing harini jugak sampai servis terbaik daripada dua2 belah pihak penjual dan penghantaran 1010 gon na buy official store
Ho H.,5,21 May 2023,good condition， quality assure
Lchin,5,11 Feb 2021,work perfectly
mon,5,28 Jan 2021,received love
E***r,5,17 Nov 2023,quality box dent product ok
Krishna N.,5,10 Jan 2021,fast delivery packaging well protected bubble wrap damage perfect quality
W***n,5,09 Apr 2023,fast delivery good quality
CY C.,5,16 Sep 2021,great product value money sufficiently fast shipping
w***.,5,13 Sep 2021,box damage sikit inside gooddelivery fast
Muhammad A.,5,13 Sep 2021,nicely pack n fast shipping item work perfect n lovelylove additional weight set also infinity scroll wheel
Wayne K.,5,24 Dec 2020,fast delivery important thing fit hand perfectly✋
M***.,5,08 Sep 2021,worth every penny search gaming mouse rm200 one
Adib S.,5,24 Dec 2020,fast delivery 😍 item received good condition burble wrap box dont know say important mouse 🤩 logitech software detect fast legit 🔥
bashir,5,21 Dec 2020,soo nice smooth fast light speed
Choy Y.,5,21 Dec 2020,box bend mouse work well nice
Lee Q.,5,15 Dec 2020,well packed order 1212 received 1412 shipping wont wait long thumb up👍👍
abdul B.,5,14 Dec 2020,terbaikmantap
Sithi N.,5,21 Aug 2021,fast shipping excellent servicehoweverthe delivery super slowtook 10 day get parcelits seller faultgood mouse good quality
James M.,5,23 Nov 2020,packing insanely good
Woon L.,5,09 Apr 2023,fast
Derrick C.,5,12 Aug 2021,item received good condition excellent quality 👍🏻
William C.,5,12 Aug 2021,well delivered thanks
D***.,5,11 Aug 2021,box bit dented mouse perfect conditionfast delivery mouse originalsafe buy
Yahya A.,5,26 Jul 2021,box bit dented handling pacakging well padded item received well mouse self prefer wheel g403 nice
Z L.,5,26 Jul 2021,received great condition great mouse
Lum X.,5,16 Oct 2020,quick delivery within 2 day despite temco product average totally suit wired mouse lover like
Ling F.,5,17 Jul 2021,love much
N***.,5,15 Jul 2021,got mouse using couple day best thing mouse scroll wheel toggle locked scrolling free roll also scroll sideways size mouse bit small 170cm 70kg adjustable weight good without extra weight mouse already quite sturdy slight problem mouse 2 button next lmb sometimes ill accidentally click overall worth
f***n,5,14 Jul 2021,good quality poor handling parcel
Daniel I.,5,14 Jul 2021,mouse berat bagus untuk kawalan yg dinamik kena install software untuk custom setting
master J.,5,03 Jul 2021,item working expected able use g hub setup g502 hero overall satisfied purchase
C***.,5,28 Dec 2023,adjustable weight personalized balance high dpi range precise tracking durable construction longlasting use
Christopher N.,5,24 Aug 2021,cod ok ori best delivery man go away immediately time check box best
Kok P.,5,25 Jun 2021,good service chat response fast good packaging layer bubble wrap box bit dent care janji mouse perfect must support store kao kao
S***.,5,24 Jun 2021,carefully wrapped fast shipping mouse good buy 👌
Muhammad H.,5,24 Jun 2021,skeptical g502 g402 yolod worth button great feel nice l hand look nice doesnt interfere handling 36g weight make mouse heavier nice touch like high dpi want control get discount g502 get shipment okay fmco still respectable time handling product typical logitech good care product
Reuben S.,5,23 Jun 2021,decent gaming mouse good sensitivity button adjustable weight give solid feel individual taste scroll lock button give different option scroll wheel dpi clutch allows immediate switch different dpi set ghub recommended small hand clutch button quite far ahead download install ghub full functionality
T***h,5,22 Jun 2021,good product quality worth money highly recommends
J***.,5,21 Jun 2021,great mouse ive ever awesome gaming give 95 10
M***y,5,19 Jun 2021,mouse delivered well condition flaw box crumpledkemek
Y***X,5,18 Jun 2021,satisfying shipping speed mouse excellent quality
1***6,5,17 Jun 2021,awesomegood packaging n good conditionpavkage dented torn waymouse best ive ever used
K***.,5,14 Jun 2021,got recommended baobao due collab stream pleased quality got 1st logitech equipment buy logitech future p collab baobao tq
J***.,5,11 Jun 2021,one best wired mouse recieved good condition expected delivery date
Dzafira D.,5,12 Aug 2020,packaging great item secure arrived safely weight definitely good buy without sale price
Beh K.,5,11 Aug 2020,dont tell mom bought cheap keyboard match gaming mouse 🤫
Pooh,5,06 Aug 2020,ordered 48 received 58 fast delivery item well pack dent box mouse 👍
Sook K.,5,05 Jun 2021,kotak kemek sikit tapi mouse nasib baik ok je
Mohamad H.,5,14 Dec 2023,customizable rgb lighting personalized look smooth precise cursor movement highly responsive accurate sensor
JWSiaw,5,14 Dec 2023,highly responsive accurate sensor durable construction longlasting use onboard memory saving personalized setting high dpi range precise tracking customizable rgb lighting personalized look smooth precise cursor movement programmable button easy customization compatible pc mac system
世权,5,06 Mar 2024,shipping fast package good quality assured
Ryan T.,5,12 Jul 2020,received item 4 day placing order item well packaged excellent quality love far
Sean L.,5,11 Jul 2020,delivery fastbut package ive received bit dented im blaming seller courier service handling good careful luckily mouse whatsoever problemand fine
1***6,5,3 weeks ago,receive good condition
Kavita R.,5,23 May 2020,bought g502 hero g512 lightsync together item came within 5 day placing order multiple button mouse able spam voice line key overwatch never felt better say genji spamming heals
Muhammad D.,5,21 May 2020,really satisfied quality performance product complains 👌🏻
Muhammad I.,5,21 May 2020,thank barang sampai dengan baik dan packaging dengan elok musim pkp ni barang lambat sikit sampai
Aiman W.,5,20 May 2020,got product safely
Mohammad L.,5,20 May 2020,good packaging original item working intended
WONG K.,5,09 Apr 2021,nice n good 👏🏻
Elvin S.,5,08 Apr 2021,bought 27th march 2021 item received good condition box abit damaged maybe due courier overall item fine everything work normally excellent
Hakim,5,07 Apr 2021,nice properly wrapped fast delivery lazada 👍👍 nice promo tho
1***0,5,06 Apr 2021,heard review first customer wondering true impressed tell truth dont mind red marker university mail sorting system mouse actually came early cant grab since mail office close box great shape stuff inside mose feel incredible packaging bubble wrap pop later fun mouse guy great keep good work 🤝
Luqman L.,5,05 Apr 2021,best mouse ever thank logitech ☺️🥵🔥
Law W.,5,03 Apr 2021,worth money
S***f,5,02 Apr 2021,beli masa lazada birthday dapat rm150 jer 👍
Rhen G.,5,18 Jan 2024,safely received good design good handling feel havent start setting yet
SEOW Y.,5,03 Apr 2020,great worth price
Shahbanu,5,18 Mar 2020,fast delivery packed neatly thank
Daus,5,19 Feb 2020,good item worth price
m***y,5,02 Nov 2023,skeptical first product proven wrong efficient made life much easier appreciate attention detail design couldnt happier choice
Goh C.,5,05 Mar 2023,fast delivery update delivery status time good packing
1***3,5,03 Apr 2022,nice mouse
Bryan D.,5,17 Oct 2021,much customization weight provided helped lot
SZD2071,5,25 Jul 2021,good movie
Daneliech,5,12 Jun 2022,really well made key sensitive though size mouse need time get used
Yukuroo,5,12 Sep 2021,shiny mouse love owo delivery took 23days quite ok since rush get feel amazing good quality
yslow,5,19 Jun 2022,original connect logitech g hud
TRACY L.,5,11 Jul 2021,product arrive safely thanks fast delivery 🙏 thanks seller wrapping safely tested work well son like 👍😍
W***.,5,26 Mar 2023,functionalitygooddddd besttttt useeeeeeee qualitysolidddddd heavyyyyyyy biggggggg materialgoodddddd
Fauzi Z.,5,25 Mar 2023,qualityoriginal functionalityoutstanding love
Sri D.,5,21 Nov 2021,received parcel safely 3days damages👍🏻 mouse condition excellent working well finally im logitech fam
Muhammad J.,5,25 Jul 2021,mouse ni panjang juga la kalau tangan saiz besar sedap pakai tapi lebar dia kurang sikit kalau nak banding dengan rival 300 dulu saya pakai yang ni material untuk wire sangat elok nampak macam tahan lasak kemudian dia boleh ubah dpi shift dpi pun feature yang menarik especially bila main fps game berat dia pun nice untuk control movement mouse smoothly
Dotknowlah Y.,5,11 Apr 2021,im simpinnn😫😫😼🔥
mohd I.,5,15 Aug 2021,receveid good condition great mouse
Nick T.,5,30 May 2021,good good good good good good good good good good good good good
Hew K.,5,07 Mar 2024,compatible pc mac system
Eon L.,5,15 Sep 2020,great！！
Sylvester O.,5,12 Oct 2019,best gaming mouse ever btw im rainbow six siege best suggestion best spamming mouse pistol bcz im also caveira player great aim using mouse loveit 😘😍
Nurul N.,5,01 Oct 2019,fast delivery good quality product
Koit H.,5,28 Sep 2019,slightly heavier previous mouse helpful stability take time adapt anyway mouse great
Mohamad A.,5,16 Sep 2019,mouse amazing went hold 1st time feel sooo good
A***.,5,01 Dec 2023,materiali hope mouse skate material displayed next time
Shannon C.,5,13 Jan 2024,functionalitysmooth qualitygood materialcomfortable
Hashveen S.,5,01 Aug 2019,satisfied overall process product con slight dent box
v69 ا.,5,14 Sep 2020,nice
lo C.,5,02 Apr 2024,ok
Mikel C.,5,20 Jun 2020,bought sale came within 2 day wrapping nice damage whatsoever item nice good surely come
CHAN S.,5,14 Jun 2020,took 5 day order go “ logistic facility ” otherwise product advertised tracking excellent much better razer taipan especially 16000dpi outstanding fly dpi control dedicated 2 button led indicator dpi lvl size shape excellent super smooth gliding instant plug play optional software install even function
Widyo,5,13 Jun 2020,absolutely original best mouse gaming nicely wrapped secure
T***.,5,29 Aug 2023,good gaming mouse fly dpi adjustment sniping fps game multiple programmable button game use adjustable removable weight people want light heavy feel
Muhammad A.,5,01 Jun 2020,love one best mouse ever bought seller sale quite expensive far satisfieddelivery fast
Amirul M.,5,01 Jun 2020,best mouse ever mouse comfortable grip add weight mouse rgb set logitech software
Muhammad I.,5,28 May 2020,took week ship due raya worth money high performing wired gaming mouse love easily could config button customisation work gaming one thing noticed sn wire box 2 different set number submit warranty mouse worked logitech g hub good
*******636,5,08 Jan 2024,material 💯💯💥💥💥 im fully satisfied 🥰🥰
0***1,5,10 Mar 2024,quality good
Ng J.,5,27 Sep 2021,received promptly without incident thanks best mouse ever bought work
azriahmat,5,03 Apr 2021,nice received good condition able use function
Chester L.,5,04 Jun 2020,nice one
Prashant,5,07 Jul 2023,box bit dented however product seems fine working took picture problem uploading
M***.,5,19 Dec 2021,good
S***.,5,15 Jun 2022,package perfect dent ty
S***.,5,12 Jul 2022,12945 good
0***7,5,03 Mar 2023,item good condition
Junelle,5,07 Apr 2022,son love
Stanley H.,5,22 Mar 2022,fast delivery great product box bit dented product okay
L***.,5,09 Feb 2022,nice packaging fast delivery product also original good love
C***.,5,23 Feb 2022,safely received using drafting work accurate smooth silk money well spent thank 👍
kongwoonhoi,5,15 Dec 2022,fast delivery
Harith A.,5,24 Oct 2022,top product efficient gaming
Ikmal M.,5,09 Mar 2023,functionalityall button perfectly work qualityvery good materialeasy grip comfortable
L***.,5,14 Jul 2022,fast delivery authentic product
C***.,5,08 Jul 2022,superb fast delivery worth value
C***.,5,09 Apr 2022,quite decent gaming mouse lot button customize g hub software weight mouse right small hand might want avoid mouse quite size bought discount price quite bargain fast shipping seller side extremely slow delivery courier side took week received item changed courier service middle mention dented box
Ching S.,5,05 Apr 2022,mouse good many button
C***.,5,07 Jun 2022,decently heavy mouse wireless cheap rn 100usd mouse thats market nearly decade
Mandy L.,5,14 Jul 2022,product received good condition mouse worth price good quality
E***.,5,01 Apr 2022,mouse work flawlessly
6***6,5,19 Jan 2024,good👍
dannyomie,5,03 Jun 2022,box dent item good condition
Mohd R.,5,09 Jul 2020,good 😍
Dana R.,5,05 Jun 2023,compared first one came pretty much great mouse time wire cloth braided n covered thin plastic seems little cheap
Mohamad F.,5,16 May 2023,good service product expected cable braided learn new version come braided cable overall good mouse minus double clicking issue 👍🏻
Leong Y.,5,30 Mar 2023,qualityit g502 expect t0 mouse get functionalityis fabulous far materialnot perfect rubber side dont know feel sticky
Davis O.,5,03 Jun 2020,awesome
Tiew L.,5,28 Apr 2022,safety arrived quite nice fit hand nice use
ZeaTing L.,5,08 Apr 2023,good quality funtionality gaming guy especially material also let people feeling good
Phoon J.,5,01 Jan 2022,good condition
Mohd A.,5,07 Sep 2023,functionality quality material
O***.,5,11 Apr 2023,functionalitywell function materialquite niceeee qualityqyite niceeee
Y***t,5,27 Nov 2021,fast delivery
Chen K.,5,23 Nov 2021,fast delivery quick response dope mouse
T***k,5,10 Aug 2023,quality：very good material：plastic metal
B***e,5,17 Nov 2021,super super super good 1 weight perfect adjustable 2 button practical favourite part never miss clicking 3 great fitting 4 importantly improves toxic gameplay😉
lim,5,15 Oct 2023,fast delivery
Kai R.,5,30 Mar 2023,amazing fit perfectly hand love ergonomics
Darryl,5,12 Nov 2021,fast delivering
A***.,5,06 May 2023,comfortable use great gaming everything programmable
John L.,5,18 Aug 2023,good product real authentic
Shargurbaren U.,5,10 Nov 2021,responsive sleek love design customizable rgb cool
Kaijyet Y.,5,03 Mar 2021,good product fast delivery
Ahmad S.,5,03 Mar 2021,mantap mantulbarang mmng tiptopset dpi 10k confirm chicken😝🤣🤣
WONG K.,5,02 Mar 2021,fast delivery good packaging condition
Charles C.,5,23 Feb 2021,highly recommended
dong Y.,5,17 Feb 2021,time delivery
*******120,5,13 Sep 2023,everything ok
1***2,5,14 Sep 2023,qualitynice
Kenny T.,5,09 Feb 2021,perfect gaming highly recommended delivery used around 3weeks still accept mco kl
CH K.,5,08 Feb 2021,far im satisfied
Justyna T.,5,05 Feb 2021,good quality super fast delivery
Cantrelle L.,5,07 Sep 2023,work well
Marcus,5,16 Sep 2021,thank well packed worth price shipping slow abit
Andy N.,5,23 Jul 2022,good
C***.,5,14 Sep 2021,superb performance fast delivery good quality hope shop offertory gift pack
Muq,5,13 Sep 2021,good productprecise mouse
NOOR H.,5,30 Dec 2020,nice mouse cheap
Susan J.,5,25 Dec 2020,great product problem thank
Khairul F.,5,08 Sep 2021,great mouse comfortable large hand
Shannon C.,5,23 Dec 2020,fast delivery well packed
anas R.,5,22 Dec 2020,terbaikkkkkk
Yen H.,5,22 Dec 2020,good super fast delivery 2 day worth try good gaming work use
JC D.,5,19 Dec 2020,solid product feel great hand performs wonderfully
Leong S.,5,18 Dec 2020,product arrived fast work like magic
BLAZEMAN 0.,5,17 Dec 2020,fast delivery
X***Q,5,19 Apr 2022,good
Chin J.,5,16 Dec 2020,good product good pricing sale expect logitech however packaging still room improvement others buyer mentioned
Mohd Y.,5,15 Dec 2020,really good original item delivery fast
JT,5,15 Dec 2020,2 working day deliver well packed product good working son like alot tq
1***1,5,14 Dec 2020,packaging product great pleased purchase
Michelle Y.,5,12 Jul 2023,well pack fast delivery
Vincent C.,5,26 Aug 2021,suprise delivery superb mouse feel premium
T***.,5,26 Aug 2021,good nice
Amirul S.,5,25 Aug 2021,excellent mouse box dented thats courier problem
Gagandeep S.,5,16 Apr 2023,functionality quality material
Wan,5,30 Mar 2023,mantapterbaikpowerpadu
jw,5,06 Apr 2023,qualitygood functionalitybest
Zi K.,5,27 Nov 2020,ship fast come good condition
J***.,5,20 Aug 2021,good quality smooth nice use like
Carson L.,5,14 Aug 2021,nice product issue ghub installation come mac mini lucky manage resolve thru research online adjust weight dpi rgb lighting custom key scroll method
Mohamad F.,5,09 Aug 2021,great product logi multiple feature suitable gaming productivity increased weight give precised aiming game
Kim M.,5,06 Aug 2021,good stuff
Jeeventhiran S.,5,27 Jul 2021,awesome product legit
Alias A.,5,03 Sep 2021,great 👍
Wong J.,5,16 Oct 2020,complaint buy logitech shop there offer next time
Tengku J.,5,16 Oct 2020,banyak dpi setting boleh custom multifunctional button sexy gila mouse ni mmg smooth sedap sting aku yahuuuu
T***.,5,19 Jul 2021,正品，包装仔细没有被压坏，3天就收到。好评。
W***n,5,16 Jul 2021,best gaming mouse ever use satisfied feature mouse really recommended guy buy worth every penny
Verat Y.,5,13 Jul 2021,fast delivery well packaged damage satisfied product
Win J.,5,26 Jun 2023,arrived quickly 👍
*******068,5,01 Jul 2021,fast delivery
Kelvin T.,5,28 Jun 2021,fast delivery good condition
Raynner U.,5,26 Jun 2021,best mouse ever thank
O***.,5,22 Jun 2021,absolutely stunning
Muhamad R.,5,09 Jun 2023,nice
Sc K.,5,11 Jun 2023,qualitygood
Im C.,5,12 Jun 2021,barang smpai dlm keadaan yg bagus dent sikit sahaja pada kotak guna pun x da masalah seller respon cpat barang ori
Jia L.,5,12 Jun 2021,good quality product packaging nicely done
Hoo C.,5,11 Aug 2020,beginning scroller bit heavytight 1 month tension ok
Janith S.,5,17 Jul 2020,best gaming mouse
Salman A.,5,13 Jul 2020,item received well package bubble wrapped damage delivery expected 2 week received 5 day earlier thankyou lazada logitech worth money buy
Nur Z.,5,16 Jun 2020,unlucky mouse got bit problemthe sensor mouse sometimes tend disappear make hard use gaming disappointed product generally mouse looking good technically problem
Jonathan Y.,5,16 Jun 2020,good packaging nice mouse
Kenneth C.,5,21 Apr 2021,shipping quick product described weight feel nice without additional weight perfect upgrade
Mr B.,5,21 Apr 2021,fastest ship seller product expected good
David L.,5,08 Apr 2021,ergonomic spot
Kelvin K.,5,08 May 2020,good quality
Joshua W.,5,07 Apr 2021,good product good price fast delivery
Chen Y.,5,19 Jul 2021,😂👍👍👍
jayden,5,30 Apr 2020,perfect mouse
soon,5,02 Apr 2021,good condition ＆ fast delivery good jod
Soon H.,5,02 Apr 2021,love
Amirul A.,5,02 Apr 2021,buy sale worth every penny
j***.,5,01 Apr 2021,package condition packaging good
Harfa E.,5,26 Apr 2020,great item fast delivery
N***.,5,31 Mar 2021,fast delivery sooner expected included free mouse case wellalthough box little bump stuff still good condition👍🏻
danish,5,27 Mar 2021,great product fast delivery recommended
Keshihakumar,5,18 Apr 2020,product delivered quickly expected even mco thumb seller product packaged well dent box mouse performance exceptional thanks great service seller
Wilson C.,5,25 Mar 2021,smooth n nice
Ng Y.,5,15 Apr 2020,arrived good quality bought good price
muhammad H.,5,16 Mar 2020,super fast delivery
Ian K.,5,12 Mar 2020,ordered yesterday arrived 1 day
eddie,5,19 Jun 2021,perfect
T***.,5,05 Feb 2023,fast delivery good quality box bit crush overall good thank
